macaque_cluster	primate_class	primate_neighborhood	primate_subclass	homology_neighborhood	homology_class	homology_subclass	homology_supertype	NOTES_NJJ		AIT21_neighborhood	AIT21_class	AIT21_subclass	AIT21_supertype	AIT21_cluster	size
72_IN	Interneuron	CCK	CCK-FBXL7	Subpallium-GABA	CTX-MGE GABA	Lamp5 Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA(0.92)| Subpallium-GABA;HY-EA-Glut-GABA(0.07)	CTX-CGE GABA(0.84)| CTX-MGE GABA(0.07)| CNU-HYa GABA(0.07)	Lamp5 Gaba(0.56)| RHP-COA Ndnf Gaba(0.24)| MEA-BST Sox6 Gaba(0.07)| Sst Gaba(0.07)	Lamp5 Gaba_2(0.53)| RHP-COA Ndnf Gaba_2(0.18)	0718 Lamp5 Gaba_2(0.23)| 0715 Lamp5 Gaba_2(0.16)| 0692 RHP-COA Ndnf Gaba_2(0.09)| 0716 Lamp5 Gaba_2(0.08)| 0714 Lamp5 Gaba_2(0.07)| 0691 RHP-COA Ndnf Gaba_2(0.06)	102
73_IN	Interneuron	CCK	CCK-FBXL7	Subpallium-GABA	CTX-MGE GABA	Lamp5 Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA	CTX-CGE GABA(0.96)	Lamp5 Gaba(0.94)	Lamp5 Gaba_1(0.54)| Lamp5 Gaba_2(0.35)| Lamp5 Gaba_3(0.06)	0718 Lamp5 Gaba_2(0.33)| 0708 Lamp5 Gaba_1(0.29)| 0706 Lamp5 Gaba_1(0.16)| 0721 Lamp5 Gaba_3(0.06)	251
57_IN	Interneuron	TAC3	CCK-VIP-TAC3	Subpallium-GABA	CTX-CGE GABA	Vip Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA(0.96)	CTX-CGE GABA(0.96)	Vip Gaba(0.94)	Vip Gaba_3(0.43)| Vip Gaba_5(0.28)| Vip Gaba_11(0.16)	0641 Vip Gaba_5(0.26)| 0632 Vip Gaba_3(0.24)| 0661 Vip Gaba_11(0.16)| 0634 Vip Gaba_3(0.11)| 0633 Vip Gaba_3(0.08)	713
58_IN	Interneuron	TAC3	CCK-VIP-TAC3	Subpallium-GABA	CTX-CGE GABA	Vip Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA	CTX-CGE GABA(0.97)	Vip Gaba(0.97)	Vip Gaba_3(0.37)| Vip Gaba_11(0.3)| Vip Gaba_6(0.2)	0661 Vip Gaba_11(0.3)| 0632 Vip Gaba_3(0.24)| 0645 Vip Gaba_6(0.16)| 0633 Vip Gaba_3(0.13)	99
59_IN	Interneuron	TAC3	CCK-VIP-TAC3	Subpallium-GABA	CTX-CGE GABA	Vip Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA	CTX-CGE GABA	RHP-COA Ndnf Gaba(0.43)| Vip Gaba(0.35)| Sncg Gaba(0.18)	RHP-COA Ndnf Gaba_1(0.21)| RHP-COA Ndnf Gaba_5(0.18)| Vip Gaba_3(0.16)| Sncg Gaba_3(0.09)| Sncg Gaba_1(0.06)| Vip Gaba_9(0.06)	0699 RHP-COA Ndnf Gaba_5(0.14)| 0687 RHP-COA Ndnf Gaba_1(0.13)| 0632 Vip Gaba_3(0.09)| 0686 RHP-COA Ndnf Gaba_1(0.08)	141
60_IN	Interneuron	TAC3	CCK-VIP-TAC3	Subpallium-GABA	CTX-CGE GABA	Vip Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA(0.95)	CTX-CGE GABA(0.95)	Vip Gaba(0.79)| Lamp5 Gaba(0.12)	Vip Gaba_9(0.19)| Vip Gaba_11(0.18)| Vip Gaba_3(0.17)| Vip Gaba_1(0.12)| Lamp5 Gaba_2(0.12)| Vip Gaba_2(0.1)	0661 Vip Gaba_11(0.15)| 0634 Vip Gaba_3(0.14)| 0656 Vip Gaba_9(0.14)| 0623 Vip Gaba_1(0.1)| 0631 Vip Gaba_2(0.1)| 0714 Lamp5 Gaba_2(0.08)	192
71_IN	Interneuron	TAC3	CCK-VIP-TAC3	Subpallium-GABA	CTX-CGE GABA	Vip Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA	CTX-CGE GABA	RHP-COA Ndnf Gaba(0.6)| Lamp5 Gaba(0.31)	RHP-COA Ndnf Gaba_3(0.27)| RHP-COA Ndnf Gaba_2(0.26)| Lamp5 Gaba_2(0.2)| Lamp5 Gaba_4(0.06)| Lamp5 Gaba_3(0.06)| RHP-COA Ndnf Gaba_1(0.06)	0696 RHP-COA Ndnf Gaba_3(0.24)| 0692 RHP-COA Ndnf Gaba_2(0.24)| 0715 Lamp5 Gaba_2(0.16)| 0722 Lamp5 Gaba_4(0.06)	70
124_IN	Interneuron	Cholinergic	CHAT	Subpallium-GABA	CNU-MGE GABA	PAL-STR Gaba-Chol				MB-HB-Glut-Sero-Dopa(0.53)| Subpallium-GABA(0.25)| Subpallium-GABA;NN-IMN-GC(0.1)| NN-IMN-GC(0.06)	MY Glut(0.53)| CNU-MGE GABA(0.14)| OB-IMN GABA(0.1)| CNU-LGE GABA(0.09)	PGRN-PARN-MDRN Hoxb5 Glut(0.5)| PAL-STR Gaba-Chol(0.14)	PGRN-PARN-MDRN Hoxb5 Glut_2(0.5)| PAL-STR Gaba-Chol_1(0.09)	4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.5)| 0927 PAL-STR Gaba-Chol_1(0.08)	594
125_IN	Interneuron	Cholinergic	CHAT	Subpallium-GABA	CNU-MGE GABA	PAL-STR Gaba-Chol				Subpallium-GABA(0.5)| Subpallium-GABA;NN-IMN-GC(0.22)| MB-HB-Glut-Sero-Dopa(0.19)	CNU-MGE GABA(0.37)| OB-IMN GABA(0.22)| MY Glut(0.18)| CNU-LGE GABA(0.08)	PAL-STR Gaba-Chol(0.36)| PGRN-PARN-MDRN Hoxb5 Glut(0.17)| OB-in Frmd7 Gaba(0.12)| OB Dopa-Gaba(0.08)	PGRN-PARN-MDRN Hoxb5 Glut_2(0.17)| PAL-STR Gaba-Chol_2(0.15)| PAL-STR Gaba-Chol_1(0.14)| OB-in Frmd7 Gaba_5(0.12)| OB Dopa-Gaba_2(0.08)| PAL-STR Gaba-Chol_3(0.08)	4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.17)| 0932 PAL-STR Gaba-Chol_2(0.14)| 0564 OB-in Frmd7 Gaba_5(0.12)| 0923 PAL-STR Gaba-Chol_1(0.11)| 0590 OB Dopa-Gaba_2(0.08)	421
126_IN	Interneuron	Cholinergic	CHAT	Subpallium-GABA	CNU-MGE GABA	PAL-STR Gaba-Chol				MB-HB-Glut-Sero-Dopa(0.65)| Subpallium-GABA(0.34)	MY Glut(0.65)| CNU-MGE GABA(0.31)	PGRN-PARN-MDRN Hoxb5 Glut(0.63)| PAL-STR Gaba-Chol(0.31)	PGRN-PARN-MDRN Hoxb5 Glut_2(0.63)| PAL-STR Gaba-Chol_1(0.17)| PAL-STR Gaba-Chol_2(0.13)	4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.63)| 0927 PAL-STR Gaba-Chol_1(0.17)| 0929 PAL-STR Gaba-Chol_2(0.08)| 0932 PAL-STR Gaba-Chol_2(0.06)	106
127_IN	Interneuron	Cholinergic	CHAT	Subpallium-GABA	CNU-MGE GABA	PAL-STR Gaba-Chol				MB-HB-Glut-Sero-Dopa(0.76)| Subpallium-GABA(0.12)	MY Glut(0.76)| CNU-MGE GABA(0.08)	PGRN-PARN-MDRN Hoxb5 Glut(0.71)| PAL-STR Gaba-Chol(0.08)	PGRN-PARN-MDRN Hoxb5 Glut_2(0.71)	4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.71)	156
19_IN	Interneuron	Cholinergic	CHAT	Subpallium-GABA	CNU-MGE GABA	PAL-STR Gaba-Chol				MB-HB-Glut-Sero-Dopa(0.59)| Subpallium-GABA(0.33)	MY Glut(0.58)| CNU-MGE GABA(0.29)	PGRN-PARN-MDRN Hoxb5 Glut(0.57)| PAL-STR Gaba-Chol(0.29)	PGRN-PARN-MDRN Hoxb5 Glut_2(0.57)| PAL-STR Gaba-Chol_2(0.29)	4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.57)| 0933 PAL-STR Gaba-Chol_2(0.29)	774
20_IN	Interneuron	Cholinergic	CHAT	Subpallium-GABA	CNU-MGE GABA	PAL-STR Gaba-Chol				Subpallium-GABA(0.63)| MB-HB-Glut-Sero-Dopa(0.22)| Subpallium-GABA;HY-EA-Glut-GABA(0.06)	CNU-MGE GABA(0.5)| MY Glut(0.21)| CNU-LGE GABA(0.13)| CNU-HYa GABA(0.06)	PAL-STR Gaba-Chol(0.43)| PGRN-PARN-MDRN Hoxb5 Glut(0.21)| NDB-SI-MA-STRv Lhx8 Gaba(0.06)	PAL-STR Gaba-Chol_2(0.36)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.21)| PAL-STR Gaba-Chol_3(0.07)	4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.21)| 0933 PAL-STR Gaba-Chol_2(0.19)| 0929 PAL-STR Gaba-Chol_2(0.09)| 0935 PAL-STR Gaba-Chol_3(0.07)| 0930 PAL-STR Gaba-Chol_2(0.06)	316
78_MSN	Granular	DRD3	D1-ICj	Subpallium-GABA	CNU-LGE GABA	OT D3 Folh1 Gaba				Subpallium-GABA(0.86)| Subpallium-GABA;HY-EA-Glut-GABA(0.11)	CNU-LGE GABA(0.84)| CNU-HYa GABA(0.11)	OT D3 Folh1 Gaba(0.74)| ACB-BST-FS D1 Gaba(0.06)	OT D3 Folh1 Gaba_1(0.53)| OT D3 Folh1 Gaba_3(0.2)	0939 OT D3 Folh1 Gaba_1(0.53)| 0941 OT D3 Folh1 Gaba_3(0.14)| 0942 OT D3 Folh1 Gaba_3(0.06)	1587
79_MSN	Granular	DRD3	D1-ICj	Subpallium-GABA	CNU-LGE GABA	OT D3 Folh1 Gaba				Subpallium-GABA(0.93)| Subpallium-GABA;HY-EA-Glut-GABA(0.07)	CNU-LGE GABA(0.92)| CNU-HYa GABA(0.07)	OT D3 Folh1 Gaba(0.62)| STR D1 Gaba(0.2)| STR D1 Sema5a Gaba(0.08)	OT D3 Folh1 Gaba_3(0.6)| STR D1 Gaba_1(0.18)| STR D1 Sema5a Gaba_3(0.06)	0941 OT D3 Folh1 Gaba_3(0.34)| 0942 OT D3 Folh1 Gaba_3(0.26)| 0944 STR D1 Gaba_1(0.09)	1551
80_MSN	Granular	DRD3	D1-ICj	Subpallium-GABA	CNU-LGE GABA	OT D3 Folh1 Gaba				Subpallium-GABA(0.82)| Subpallium-GABA;HY-EA-Glut-GABA(0.17)	CNU-LGE GABA(0.82)| CNU-HYa GABA(0.17)	OT D3 Folh1 Gaba(0.7)| ACB-BST-FS D1 Gaba(0.12)| STR D1 Sema5a Gaba(0.07)	OT D3 Folh1 Gaba_3(0.31)| OT D3 Folh1 Gaba_2(0.23)| OT D3 Folh1 Gaba_1(0.17)| ACB-BST-FS D1 Gaba_2(0.11)| STR D1 Sema5a Gaba_3(0.06)	0941 OT D3 Folh1 Gaba_3(0.3)| 0940 OT D3 Folh1 Gaba_2(0.23)| 0939 OT D3 Folh1 Gaba_1(0.17)| 1378 ACB-BST-FS D1 Gaba_2(0.11)	206
1_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.97)	STR D1 Gaba_3(0.52)| STR D1 Gaba_8(0.36)| STR D1 Gaba_6(0.06)	0950 STR D1 Gaba_3(0.52)| 0961 STR D1 Gaba_8(0.36)| 0959 STR D1 Gaba_6(0.06)	16393
22_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.98)	STR D1 Gaba_3(0.94)	0950 STR D1 Gaba_3(0.93)	16850
2_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.98)	STR D1 Gaba_8(0.77)| STR D1 Gaba_3(0.07)| STR D1 Gaba_6(0.07)| STR D1 Gaba_9(0.06)	0961 STR D1 Gaba_8(0.77)| 0950 STR D1 Gaba_3(0.07)| 0959 STR D1 Gaba_6(0.07)| 0964 STR D1 Gaba_9(0.06)	1642
34_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.79)| STR D2 Gaba(0.21)	STR D1 Gaba_3(0.68)| STR D2 Gaba_2(0.13)| STR D2 Gaba_4(0.06)	0950 STR D1 Gaba_3(0.68)| 0977 STR D2 Gaba_2(0.13)| 0981 STR D2 Gaba_4(0.06)	404
35_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.98)	STR D1 Gaba_4(0.4)| STR D1 Gaba_3(0.39)| STR D1 Gaba_9(0.13)	0950 STR D1 Gaba_3(0.39)| 0954 STR D1 Gaba_4(0.24)| 0953 STR D1 Gaba_4(0.16)| 0964 STR D1 Gaba_9(0.13)	180
36_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.81)| STR D2 Gaba(0.19)	STR D1 Gaba_8(0.62)| STR D2 Gaba_2(0.17)| STR D1 Gaba_9(0.1)	0961 STR D1 Gaba_8(0.61)| 0977 STR D2 Gaba_2(0.17)| 0964 STR D1 Gaba_9(0.1)	883
3_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.97)	STR D1 Gaba_8(0.89)	0961 STR D1 Gaba_8(0.89)	226
47_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_3(0.82)| STR D1 Gaba_6(0.1)	0950 STR D1 Gaba_3(0.82)| 0959 STR D1 Gaba_6(0.1)	1004
49_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_3(0.92)	0950 STR D1 Gaba_3(0.92)	1924
4_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.96)	STR D1 Gaba_8(0.84)| STR D1 Gaba_3(0.06)	0961 STR D1 Gaba_8(0.84)| 0950 STR D1 Gaba_3(0.06)	974
50_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_3(0.91)	0950 STR D1 Gaba_3(0.91)	1012
51_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_3(0.54)| STR D1 Gaba_8(0.26)| STR D1 Gaba_6(0.13)	0950 STR D1 Gaba_3(0.54)| 0961 STR D1 Gaba_8(0.26)| 0959 STR D1 Gaba_6(0.13)	1052
74_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba	STR D1 Gaba_6(0.39)| STR D1 Gaba_7(0.29)| STR D1 Gaba_3(0.2)| STR D1 Gaba_8(0.07)	0959 STR D1 Gaba_6(0.39)| 0960 STR D1 Gaba_7(0.29)| 0950 STR D1 Gaba_3(0.2)| 0961 STR D1 Gaba_8(0.07)	9359
89_MSN	MSN	D1-MSN	D1-Matrix	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba(0.94)	STR D1 Gaba_3(0.88)	0950 STR D1 Gaba_3(0.87)	4439
23_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA	CNU-LGE GABA(0.98)	STR-PAL Chst9 Gaba(0.97)	STR-PAL Chst9 Gaba_1(0.83)| STR-PAL Chst9 Gaba_5(0.07)| STR-PAL Chst9 Gaba_3(0.06)	1003 STR-PAL Chst9 Gaba_1(0.59)| 1002 STR-PAL Chst9 Gaba_1(0.15)| 1001 STR-PAL Chst9 Gaba_1(0.09)| 1015 STR-PAL Chst9 Gaba_5(0.07)	1006
24_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba(0.98)	STR-PAL Chst9 Gaba_4(0.51)| STR-PAL Chst9 Gaba_3(0.17)| STR-PAL Chst9 Gaba_1(0.16)| STR-PAL Chst9 Gaba_5(0.13)	1011 STR-PAL Chst9 Gaba_4(0.51)| 1009 STR-PAL Chst9 Gaba_3(0.17)| 1003 STR-PAL Chst9 Gaba_1(0.16)| 1015 STR-PAL Chst9 Gaba_5(0.13)	2174
25_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA(0.96)	CNU-LGE GABA(0.96)	STR-PAL Chst9 Gaba(0.94)	STR-PAL Chst9 Gaba_3(0.51)| STR-PAL Chst9 Gaba_4(0.24)| STR-PAL Chst9 Gaba_5(0.16)	1009 STR-PAL Chst9 Gaba_3(0.47)| 1011 STR-PAL Chst9 Gaba_4(0.24)| 1015 STR-PAL Chst9 Gaba_5(0.15)	2592
26_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA(0.92)| Subpallium-GABA;HY-EA-Glut-GABA(0.07)	CNU-LGE GABA(0.92)| CNU-HYa GABA(0.07)	STR-PAL Chst9 Gaba(0.87)| CEA-AAA-BST Six3 Sp9 Gaba(0.06)	STR-PAL Chst9 Gaba_5(0.61)| STR-PAL Chst9 Gaba_1(0.15)| STR-PAL Chst9 Gaba_4(0.06)	1015 STR-PAL Chst9 Gaba_5(0.6)| 1003 STR-PAL Chst9 Gaba_1(0.08)| 1001 STR-PAL Chst9 Gaba_1(0.06)| 1011 STR-PAL Chst9 Gaba_4(0.06)	1178
27_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA(0.89)| Subpallium-GABA;HY-EA-Glut-GABA(0.06)	CNU-LGE GABA(0.86)| CNU-HYa GABA(0.06)	STR D1 Sema5a Gaba(0.66)| STR-PAL Chst9 Gaba(0.14)	STR D1 Sema5a Gaba_4(0.45)| STR D1 Sema5a Gaba_3(0.14)| STR-PAL Chst9 Gaba_3(0.1)| STR D1 Sema5a Gaba_2(0.06)	1000 STR D1 Sema5a Gaba_4(0.34)| 0998 STR D1 Sema5a Gaba_3(0.12)| 0999 STR D1 Sema5a Gaba_4(0.11)| 1009 STR-PAL Chst9 Gaba_3(0.1)	717
28_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA(0.94)	CNU-LGE GABA(0.94)	STR D1 Sema5a Gaba(0.45)| STR-PAL Chst9 Gaba(0.42)	STR D1 Sema5a Gaba_4(0.33)| STR-PAL Chst9 Gaba_3(0.21)| STR-PAL Chst9 Gaba_5(0.11)| STR D1 Sema5a Gaba_3(0.11)| STR-PAL Chst9 Gaba_4(0.09)	1000 STR D1 Sema5a Gaba_4(0.26)| 1009 STR-PAL Chst9 Gaba_3(0.21)| 1015 STR-PAL Chst9 Gaba_5(0.11)| 1011 STR-PAL Chst9 Gaba_4(0.09)| 0998 STR D1 Sema5a Gaba_3(0.07)| 0999 STR D1 Sema5a Gaba_4(0.07)	1325
29_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA(0.95)	CNU-LGE GABA(0.93)	STR-PAL Chst9 Gaba(0.89)	STR-PAL Chst9 Gaba_1(0.54)| STR-PAL Chst9 Gaba_5(0.29)| STR-PAL Chst9 Gaba_3(0.06)	1003 STR-PAL Chst9 Gaba_1(0.38)| 1015 STR-PAL Chst9 Gaba_5(0.28)| 1001 STR-PAL Chst9 Gaba_1(0.09)| 1002 STR-PAL Chst9 Gaba_1(0.07)| 1009 STR-PAL Chst9 Gaba_3(0.06)	285
30_MSN	MSN	Hybrid	D1-NUDAP	Subpallium-GABA	CNU-LGE GABA	STR-PAL Chst9 Gaba				Subpallium-GABA(0.9)| Subpallium-GABA;HY-EA-Glut-GABA(0.08)	CNU-LGE GABA(0.89)| CNU-HYa GABA(0.08)	STR-PAL Chst9 Gaba(0.88)| CEA-AAA-BST Six3 Sp9 Gaba(0.07)	STR-PAL Chst9 Gaba_3(0.49)| STR-PAL Chst9 Gaba_4(0.16)| STR-PAL Chst9 Gaba_1(0.13)| STR-PAL Chst9 Gaba_5(0.1)| CEA-AAA-BST Six3 Sp9 Gaba_2(0.07)	1009 STR-PAL Chst9 Gaba_3(0.38)| 1011 STR-PAL Chst9 Gaba_4(0.16)| 1003 STR-PAL Chst9 Gaba_1(0.13)| 1008 STR-PAL Chst9 Gaba_3(0.1)| 1015 STR-PAL Chst9 Gaba_5(0.09)	267
61_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.93)| Subpallium-GABA;HY-EA-Glut-GABA(0.07)	CNU-LGE GABA(0.93)| CNU-HYa GABA(0.07)	STR D1 Gaba(0.88)	STR D1 Gaba_1(0.52)| STR D1 Gaba_8(0.21)| STR D1 Gaba_5(0.07)	0943 STR D1 Gaba_1(0.5)| 0961 STR D1 Gaba_8(0.19)| 0955 STR D1 Gaba_5(0.07)	614
62_MSN	MSN	D1-MSN	D1-ShellOT	Subpallium-GABA	CNU-LGE GABA	STR D1 Gaba				Subpallium-GABA(0.96)	CNU-LGE GABA(0.96)	STR D1 Gaba(0.88)| STR D2 Gaba(0.07)	STR D1 Gaba_1(0.58)| STR D1 Gaba_6(0.16)| STR D1 Gaba_8(0.12)	0943 STR D1 Gaba_1(0.56)| 0959 STR D1 Gaba_6(0.16)| 0961 STR D1 Gaba_8(0.12)	2543
